,year,semester,course_id,class_number,counts,key
407,2022,2,IF2220,3,29,2022-2-IF2220-3
408,2022,2,IF2230,1,67,2022-2-IF2230-1
409,2022,2,IF2230,2,65,2022-2-IF2230-2
410,2022,2,IF2230,3,29,2022-2-IF2230-3
411,2022,2,IF2240,1,69,2022-2-IF2240-1
412,2022,2,IF2240,2,73,2022-2-IF2240-2
413,2022,2,IF2240,3,29,2022-2-IF2240-3
414,2022,2,IF2250,1,66,2022-2-IF2250-1
415,2022,2,IF2250,2,65,2022-2-IF2250-2
416,2022,2,IF2250,3,29,2022-2-IF2250-3
417,2022,2,IF3210,1,61,2022-2-IF3210-1
418,2022,2,IF3210,2,58,2022-2-IF3210-2
419,2022,2,IF3210,3,58,2022-2-IF3210-3
420,2022,2,IF3230,1,65,2022-2-IF3230-1
421,2022,2,IF3230,2,59,2022-2-IF3230-2
422,2022,2,IF3230,3,56,2022-2-IF3230-3
423,2022,2,IF3250,1,58,2022-2-IF3250-1
424,2022,2,IF3250,2,59,2022-2-IF3250-2
425,2022,2,IF3250,3,56,2022-2-IF3250-3
426,2022,2,IF3260,1,63,2022-2-IF3260-1
427,2022,2,IF3260,2,60,2022-2-IF3260-2
428,2022,2,IF3260,3,56,2022-2-IF3260-3
429,2022,2,IF3270,1,60,2022-2-IF3270-1
430,2022,2,IF3270,2,58,2022-2-IF3270-2
431,2022,2,IF3270,3,57,2022-2-IF3270-3
432,2022,2,IF3280,1,57,2022-2-IF3280-1
433,2022,2,IF3280,2,56,2022-2-IF3280-2
434,2022,2,IF3280,3,57,2022-2-IF3280-3
435,2022,2,IF4020,1,50,2022-2-IF4020-1
436,2022,2,IF4033,1,31,2022-2-IF4033-1
437,2022,2,IF4042,1,71,2022-2-IF4042-1
438,2022,2,IF4044,1,23,2022-2-IF4044-1
439,2022,2,IF4051,1,31,2022-2-IF4051-1
440,2022,2,IF4061,1,84,2022-2-IF4061-1
441,2022,2,IF4090,1,8,2022-2-IF4090-1
442,2022,2,IF4091,1,24,2022-2-IF4091-1
443,2022,2,IF4092,1,128,2022-2-IF4092-1
444,2022,2,IF4092,2,116,2022-2-IF4092-2
445,2022,2,IF5099,1,21,2022-2-IF5099-1
446,2022,2,IF5099,2,25,2022-2-IF5099-2
447,2022,2,IF5100,1,15,2022-2-IF5100-1
448,2022,2,IF5142,1,12,2022-2-IF5142-1
449,2022,2,IF5152,1,2,2022-2-IF5152-1
450,2022,2,IF5170,1,15,2022-2-IF5170-1
451,2022,2,IF5180,1,15,2022-2-IF5180-1
452,2022,2,IF5200,1,27,2022-2-IF5200-1
453,2022,2,IF5200,2,27,2022-2-IF5200-2
454,2022,2,IF5220,1,11,2022-2-IF5220-1
455,2022,2,IF5221,1,11,2022-2-IF5221-1
456,2022,2,IF5230,1,8,2022-2-IF5230-1
457,2022,2,IF5241,1,6,2022-2-IF5241-1
458,2022,2,IF5242,1,15,2022-2-IF5242-1
459,2022,2,IF5243,1,11,2022-2-IF5243-1
460,2022,2,IF5250,1,2,2022-2-IF5250-1
461,2022,2,IF5270,1,14,2022-2-IF5270-1
462,2022,2,IF5271,1,14,2022-2-IF5271-1
463,2022,2,IF5280,1,17,2022-2-IF5280-1
464,2022,2,IF5281,1,15,2022-2-IF5281-1
465,2022,2,IF6048,1,14,2022-2-IF6048-1
466,2022,2,IF6049,1,19,2022-2-IF6049-1
467,2022,2,IF6090,1,1,2022-2-IF6090-1
468,2022,2,IF6093,1,15,2022-2-IF6093-1
469,2022,2,IF6094,1,7,2022-2-IF6094-1
470,2022,2,IF6099,1,50,2022-2-IF6099-1
471,2022,2,IF6099,2,40,2022-2-IF6099-2
472,2022,2,II1101,2,73,2022-2-II1101-2
473,2022,2,II1101,3,73,2022-2-II1101-3
474,2022,2,II1101,4,87,2022-2-II1101-4
475,2022,2,II1101,5,49,2022-2-II1101-5
476,2022,2,II1101,6,50,2022-2-II1101-6
477,2022,2,II2220,1,69,2022-2-II2220-1
478,2022,2,II2220,2,66,2022-2-II2220-2
479,2022,2,II2220,3,28,2022-2-II2220-3
480,2022,2,II2221,1,54,2022-2-II2221-1
481,2022,2,II2221,2,59,2022-2-II2221-2
482,2022,2,II2230,1,70,2022-2-II2230-1
483,2022,2,II2230,2,69,2022-2-II2230-2
484,2022,2,II2230,3,28,2022-2-II2230-3
485,2022,2,II2240,1,69,2022-2-II2240-1
486,2022,2,II2240,2,67,2022-2-II2240-2
487,2022,2,II2240,3,29,2022-2-II2240-3
488,2022,2,II2250,1,73,2022-2-II2250-1
489,2022,2,II2250,2,74,2022-2-II2250-2
490,2022,2,II2250,3,28,2022-2-II2250-3
491,2022,2,II2260,1,68,2022-2-II2260-1
492,2022,2,II2260,2,68,2022-2-II2260-2
493,2022,2,II2260,3,30,2022-2-II2260-3
494,2022,2,II3220,1,54,2022-2-II3220-1
495,2022,2,II3220,2,59,2022-2-II3220-2
496,2022,2,II3230,1,58,2022-2-II3230-1
497,2022,2,II3230,2,60,2022-2-II3230-2
498,2022,2,II3240,1,53,2022-2-II3240-1
499,2022,2,II3240,2,58,2022-2-II3240-2
500,2022,2,II3260,1,53,2022-2-II3260-1
501,2022,2,II3260,2,59,2022-2-II3260-2
502,2022,2,II4031,1,41,2022-2-II4031-1
503,2022,2,II4035,1,52,2022-2-II4035-1
